INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
VI.6.22.b;Sammlung lose Blätter;"Bramante; Verhältnis zu gleichzeitigen Künstlern";B;;;1893;;29 Notizen und Skizzen (Bramante), 1 Abbildung, 1 Zeitungsausschnitt (La Perserveranza 1893), 1 Karte (Müntz 1879): (in 6 Umschläge);;;32;;> 0629 (3x Skizzen) - 0631 (1x Karte) - 0632;;;
VI.6.22.c;Sammlung lose Blätter;"Bramante; Bramante - Maestri e Scolari";B;;;1875, 1876;;33 Notizen und Skizzen (z.T. Abschriften aus Vasari), 1 Broschüre (2 Gilberto Govi 1875), 1 Brief (Gilberto Govi 1876): (in 3 Umschläge);;;35;;> 0633 (2x Brief) - 0634;;;
VI.6.23;Sammlung lose Blätter;Maestri Scolari Protettori;SP B T Dmpf.;;;1888, 1897, 1898, 1900, f;;"35 Notizen und Skizzen (A. Pisano; Brunellesco u. Ghilberti; Antonio di Sangallo; gute Restaurationen); 28 Zeitungsausschnitte (5 Arte e Storia 2x1898 1901 2x1902; 6 Chronique 1897 2x1898 2x1901 1903; 1 Revue du Lyon; 1 Beilagen Allgemeine Zeitung 2x1900 1901 2x1903 1904; 2 Frankfurter Zeitung 1903 1904; 2 The Builder 1902 1903; 1 Allgemeine Schweizer Zeitung 1901; 1 Der Sonntag 1900; 2 RIBA [White; Hints to Workman] 1888; 2 ...? [deutsch] Nachruf Müntz); 2 Telegrammaufgabescheine (Auszeichnung für Müntz; kein Datum), 1 Buchrechnung (1898)";;;66;;> 0635 (3x RIBA) - 0637 (1x RIBA) - 0638;;;
VI.6.24;Sammlung lose Blätter;Briefe von Ebhardt (Hohkönigsburg);HK;;;1901, 1902, 1903, 1904;;"24 Briefe (Hohkönigsburg; 23 Bodo Ebhardt 11x + 2 Karten + 1 Telegramm 1901; 2x + 2 Karten 1902; 3x + 1 Telegramm 1903 1904; 1 Telegramm Naef 1901)";;;24;;> 0639 (5x Brief Karte) - 0642 (2x Brief) - 0644 (2x Briefe) - 0646;;;
VI.6.25;Sammlung lose Blätter;Quellen u. Dokumente VII (Bramante);B;;;1876;;"192 Abschriften (zu Bramante; Cesariano; Serlio; Lomazzo u.a.), 1 Brief (Donaldson 1876): (in 5 Umschläge)";;;193;;;;;
VI.6.26;Sammlung lose Blätter;Bramante Verschiedenes IX;B;;;1876, 1868, 1891, 1898, f;;"93 Notizen und Skizzen (Bramante; aus dem Toscanawerk hervorgegangen), 7 Zeichnungen (Transparentpapier; Profile und Bossen; Bramante), 1 Typoskript, 5 Zeitungsausschnitte (1 Beilage zur Allgemeinen Zeitung 1904; 1 Perserveranza 1901; 1 Journal Illustrè (ohne Datierung; ""Gussmauerwerk Bramante""; 1 Figaro 1891; 1 Chronique 1904), 1 Brief (Warteiz 1876): (in 5 Umschläge; Bauwerke die Bramante studiert zu haben scheint)";;;110;;> 0647 (2x Brief) - 0648 (3x Skizzen) - 0651 (4x Zeichnungen) - 0655 (3x Zeitschriftenartikel) - 0658 (1x Zeichnung) - 0659 (2x Abbildung) (...) - 0664;;;
VI.6.27;Sammlung lose Blätter;Bramante. Kupferstiche;B;;;1875, 1877;;"9 Notizen und Skizzen (Bramante), 2 Abbildungen (Previdari-Stich; Bramante-Stich), 4 Briefe (1 Girolamo d'Adda [Salvaterra] 1877; 2 ? und Jones <British Museum> 1875; 1 Briefentwurf Geymüller > Dupont 1875), 1 Prospekt";;;16;;> 0665 (2x Brief) - 0666 (6x Brief Skizzen) (3x Skizzen) - 0675;;;
VI.6.28;Sammlung lose Blätter;Bramante. Ricerche sulla Patria;B ;;;1868, 1876, 1877, 1878, f;;"68 Notizen, 2 Zeichnungen (1 auf Transparentpapier; Bramantewappen), 1 Foto (Porträt einer Dame; geborene Bramante aus Neapel), 1 Holzstich (Casa di Bramante), 10 Briefe (<Circolo Bramante> 1876; 2 Ambrosi 1876; 1 W. Alioth 1868; 1 Filippo [Raffaelli] <Biblioteca Comunale Fermo> 1877; 2 G. Govi 1877; 1 Müntz 1878; 2 Raffaele Raffaelli 1879): (in 7 Umschläge; Bramante; Alberti; Mantegna)";;;82;;> 0676 (14x Abbildungen Briefe) - 0690 (2x Briefe) - 0692 (1x Foto) - 0693 (4x Brief) - 0697 (3x Brief) - 0700 (5x...) - 0705;;;
VI.6.29;Sammlung lose Blätter;Aufklärendes. Accusa & Diffesa (Bramante VIII);SP B;;;1868, 1875;XXX;"102 Notizen (z.T. Abschriften; Abbruch von Alt-St.Peter), 9 Zeichnungen (6 auf Transparentpapier; Thermen; Palazzo Venezia; Palazzo Ducale Urbino; Vatikanischer Obelisk), 2 Fotos (Diocletiansthermen), 1 Abbildung (Laspeyres; Die Kirchen der Renaissance in Mittelitalien), 3 Deutsche Bauzeitung 1868 (Gubbio), 2 Briefe (Broghini ? 1875; Canco Sassi 1875): (in 2 Umschläge)";;;119;unpublizierte Skizzen von Diocletiansthermen;> 0706 (1x Abbildung) (8x Skizzen) - 0714 (5x Zeichnungen) - 0719 (3x Brief) - 0722 (3x Zeichnungen) - 0725 ;;;
VI.6.30;Sammlung lose Blätter;V. Maler. Kupferstecher + Militäringenieur (Bramante);B;;;1875, 1876, 1877, 1878, f;;"47 Notizen und Skizzen (z.T. Abschriften), 2 Zeichnungen (Transparentpapier; Palmanova; Civitavecchia), 1 Blatt (Typografie), 16 Briefe (4 Gustavo Frizzoni 1875 1876 1877 1878; 4 ? <British Museum> 1875; 1 ? <Kriegsministerium> 1882; 1 R. Krause 1876; 1 ? <Palazzo Farnese> [Ecole Francaise] 1878; 1 ? <Archivio di Stato Milano> 1877; 1 P. Amodini <Bürgermeister Domodossola> 1876; 2 Angelotti und G. Mesozzi <Comando Militare Milano> 1876; 1 Geymüller > Conte [?] 1877; 1 Geymüller > Circolo Bramante 1877), 1 Eintrittserlaubnis (Milano): (in 2 Umschläge)";;;66;;> 0726 (6x Briefe) - 0731 (9x Briefe) (4 Briefe) - 0744 (1x Zeichnung) - 0745 (3x Briefe Skizzen) - 0748 (4x Briefe Skizze) - 0752 (3x Brief und Skizze) - 0755 (4x Brief) - 0759 (1x Skizze) - 0760 (3x Skizze Zeichnung) - 0762;;;
VII.A.;Sammlung lose Blätter;"Egger; div. (Veduten; Handzeichnungen; Escurialensis; Conclave)";SP B T Raf S;;;1867 1872;XX;"[von Egger verwendetes Material (davon von Geymüller:)] 4 Fotos (2 Raffael <Pantheon>; 1 Zuccari <Piocoio da Faenza>), 3 Abbildungen (1 Giuliano da Sangallo <Fassade von S. Lorenzo>; 1 Raffael <Loggia [als Bramante bezeichnet; von Geymüller publiziert]>; 1 Weltausstellungsplan 1867), 2 Zeitschriftenausschnitte (1 Gazette 1872; 1 Jounal illustré 1867 <Capitaol in Washington>): (in 3 Umschläge [von Egger zusammengesetellt]: aus römische Veduten; Handzeichnungen; Escurialensis; Conclave [keine extra Auflistung der Einzelblätter!])";;;9;[Plan zu Weltausstellung 1867];> 0763 (1x Abbildung) (2x Fotos) - 0765 (1x Abbildung) - 0766 (3x Abbildungen) - 0769 (8x Abbildungen) - 0777;;;
VII.B.1;Sammlung lose Blätter;o. Aufschrift (St. Peter);SP B Raf Th;;;;XXX;"1 Zeichnung (Transparentpapier; Giuliano di Sangallo[?]), 88 Fotos (87 zu St. Peter [einige mehrmals; einige mit Notizen und Skizzen - Geymüller und Egger]); 1 Tempietto [Zeichnung]), 6 Abbildungen (3 St. Peter Entwürfe; 3 Villa Madama [mit Notizen und Skizzen])";;;95;"[Zeichnung; Transparentpapier]; für St. Peter (weil tlw. nicht publiziert, aber bearbeitet und beschriftet)";> 0778 (...x Abbildungen) - 0810;;;
VII.B.2;Sammlung lose Blätter (in orangen Umschlägen);Oberitalienisches Skizzenbuch Soane Museum (Wachler);S;;;1891, 1893;X;"1 Diverse Unterlagen (zur Dissertation Ludwig Wachler [?] 1938; ""unter Verwendung von Material aus dem Geymüller Nachlaß""), 103 Notizen und Skizzen (Architektur auf Gemälden), 184 Fotos (71 Negative [davon 7 von Wachler]; Skizzenbuch des Soane-Museum), 5 Briefe (2 Papworth 2x 1891; 2 Beltrami 1891 1893; 1 White [RIBA] 1893): (in 3 Umschläge)";;;292;Skizzenbuch mit Publikation vergleichen;> 0811 (52x Negative) - 0863 (...x Fotos) - 0947 (1x Umschlag) - 0948 (...x Negative) - 0971 (7x Skizzen) - 0978 (4x Briefe Skizzen) - 0982 (1x Liste) - 0983 (7x Briefe) - 0990 (17x Fotos) - 1007 (6x Skizzen) - 1013 (4x Skizzen) - 1017 (3x...) - 1020;;;
VII.C.1;Sammlung lose Blätter;"o. Aufschrift (""Institut"" von H. Egger)";Th;;;;XXX;4 Abbildungen (3 Probedrucke für Thesaurus, 1 Beschriftungslayout [handrschriftlich]);;;4;;> 1021 (5x Abbildungen) - 1025;;;
VII.C.2;Sammlung lose Blätter;Campello. Barberini (große Mappe Geymüllers);SP T Rac S;;;1875;XXX;"7 Notizen und Skizzen (Codex Geymüller-Campello), 109 Zeichnungen (hauptsächlich Kopien nach den Sangallo; 60x Transparentpapier auf Karton; 30x Transparentpapier; 16x Gewebepapier [?]; 2x Leinen auf Karton; 1x Transparentpapier/Leinen/Karton - folgender Gegenstände: Pausen nach den Sangallo (=Pisa; St. Peter; Montepulciano [Madonna di S. Biagio]; Loreto; S. Lorenzo; Festungsbauten; Villen; Orsanmichele; Plan für Piazza Navona u.a. [Sakralbauten; Paläste; Klöster; Ordnungen; Profile])";;;116;ENTNOMMEN: 10 Blätter für Ausstellung in Florenz, 1 Foto;> 1100 - 1101 (Foto) - 1102;;;
VII.C.3.a;Sammlung lose Blätter;"o. Aufschrift (Kassette); IV (Skizzenbuch)";S;;;1862;XXX;"35 Zeichnungen (mittelalterliche Architektur [Speyer; Potsdam; Neuweiler usw.]; Porträtskizzen von F. Adler und Max Alioth), 5 Fotos (Hochfelden 1862)";;;1;ENTNOMMEN: Ausstellungsmaterial;;;;
VII.C.3.b;Sammlung lose Blätter;"o. Aufschrift (Kassette); o. Aufschrift";S;;;1860, 1868, 1878, 1884, f;XXX;"24 Notizen (biografische Anhaltspunkte; franz. [vermutl. von Tochter geschrieben] u. deu.; ab 1860; Liste der Ehrungen), 1 Foto (Jugendbildnis Geymüllers), 13 Briefe (Kluge 1902; Bonniy[?] [M.M.Bamres?] 1868; Mad. Veillon-Burkhardt 1897; Eitelberger 1884; Uni. Freiburg 1902; Camillo Ravioli [Rom] 1876; Bibl. Communale Siena 1878; Institut Belle Arti 1879; L. Mussini <Direzione Del R. Istituti di Belle Arti di Siena> 1895; Universität Basel 1897; [über Otto-Heirichsbau] 1906; 2 Briefentwürfe > Eitelberger 1884; 1 Telegrammaufgabeschein 1897 [Beileid Jakob Burckhardt]; 1 Grabrede Dehios > Geymüller [2 lose Blätter]), 7 Eintritts- bzw. Mitgliedskarten (Nationalbibliothek Florenz; Palazzo Pitti; Galleria delle Statue; Berliner Architektenverein + Ballkarte; Versammlung dt. Architekten; Ist. Archeologia), 1 Todesanzeige (Eitelberger), 1 Immatrikulatsionsbestätigung 1863/64";;;46;;"> 1103 (2x CV) - 1104 (...Briefe) - 1127; > 1132 (Lebenslauf) (Briefe etc) - 1146";;;
VII.C.3.c;Sammlung lose Blätter;"o. Aufschrift (Kassette); o. Aufschrift";T S;;;1861, 1862, 1908;;"1 Foto (Nationalbibliothek Florenz ?), 1 Vorlesungsverzeichnis Berlin 1861/62 (Bauakademie), 1 Korrekturbogen Toscanawerk (24.08.1908; ""vielleicht der letzte des Toscanawerks"" [H.v.G.]), 1 Gouache (Kastell von Ostia), 1 Visitenkarte (Gaetano Pelliccioni), 1 Stadtplan (Rom), 1 Telegramm (Ferri)";;;6;;> 1147 (Telegramm Ferri) - 1149 > 1166 (Foto);;;
VII.C.3.d;Sammlung lose Blätter;"o. Aufschrift (Kassette); o. Aufschrift";S;;;;XXX;"17 Notizen (Jacob Burkhardt [?]; mit Ergänzungen Geymüllers) (Cicerone Bearbeitung von Geymüller)";;;17;ENTNOMMEN!;;;;
VII.C.3.e;Sammlung lose Blätter;"o. Aufschrift (Kassette); Kraus u. Sauer I 8";S;;;1909;;1 Notiz, 1 Zeitungsausschnitt, 1 Brief (Verlag Herder 1909), 1 Dankeskarte (Verlag Herder);;;4;;;;;
VII.C.3.f;Sammlung lose Blätter;"o. Aufschrift (Casette); o. Aufschrift (Schriften Geymüllers)";SP B DC Th HK S;;;1868, 1870, 1877, 1880, f;XXX;"41 Sonderdrucke und Broschüren (2 S. Pietro 1868 [letzter Absatz über Zentralbau im Allgemeinen; in dt. Fassung über Bau des Berliners Doms]; 2 Theasaurus 1893 [The Builder]; 2 Otto-Heinrich-Bau 1906; 1 Bramante 1892 [RIBA]; 5 St. Peter 1877 [Zeitschrift für Bildende Kunst]; 1 Rezension/Nachruf Pini Uffizien 1879 [Deutsche Bauzeitung]; 1 Du Cerceau 1885 [L'Art], 3 Nachruf Franz Xaver Kraus 1903 [Badeblatt]; 2 St. Peter 1906 [Badeblatt]; 2 Hohkönigsburg 1906 [Badeblatt], 1 St. Peter 1870 [La Chronique]; 1 Rezension von Egger Handzeichnungen der Hofbibliothek 1904 [Beilage zur Allgemeinen Zeitung], 3 Rezensionen Frizzoni Rinascimento 1892 [Chronique]; 3 Fra Giocondo 1882 [Chronique]; 1 Rezension Niemann Palastbauten des Barocks in Wien 1885 [Chronique], 1 [von unbekannt] Hohkönigsburg 1908 [Chronique]; 2 Palazzo di Venezia 1908 [Chronique], 1 [von Camillo Ravioli] Raffael 1870 [Buonarotti], 1 Heidelberger Schloss 1906; 1 Bramante 1887 [Gazette archéologique]; 3 Cordiano 1880 [Buonarotti]), 1 Abbildung (Radierung aus dem Artikel der Gazette; Raffael)";;;41;(S. Pietro) (Heidelberger Schloss - wegen moderner Position);> 1167 (Namensliste auf Rückseite von Badeblatt 1906) - 1168 (Abbildung);;;
VII.C.3.g;Sammlung lose Blätter;"o. Aufschrift (Casette); o. Aufschrift (Rezensionen von Geymüllers Schriften)";SP Raf DC;;;1881, 1882, 1884, 1885, f;;"12 Zeitungsausschnitte und Broschüren (Rezensionen der Schriften Geymüllers: 2 Fra Giocondo 1882 [Leon Palustre; Chronique]; 1 Du Ceceau 1887 [Nolhac; Bulletin de l'art]; 1 Friedrich II 1908 [Marcel Aubert; Bulletin de l'art]; 1 Friedrich II. [Carl Neumann; The Builder] 1908; 1 Du Cerceau 1889 [Leon Palustre; Bulletin Critique]; 1 Raffael 1884 [Anton Springer; Repertorium f. Kunstgeschichte]; 1 St. Peter Entwürfe 1881 [B.K.F./Robert Dohme?; Deutsche Rundschau]; 2 St. Peter Entwürfe 1882 [Wilhelm Lübke; Beilage zur Allgemeine Zeitung], 1 Du Cerceau 1888 [Henry Heathcote Statham; The Builder])";;;12;;;;;
VII.C.3.h;Sammlung lose Blätter;"o. Aufschrift (Casette); o. Aufschrift (Prospekte für Schriften Geymüllers)";SP T Mich Th S;;;1875, 1893, 1900, 1903;XXX;"15 Prospekte und Sonderdrucke (1 [Subskription] Thesaurus 1893-1899; 1 Michaelangelo 1904; 1 Entwürfe 1875; 2 [Frage an die Subskipenten des Toscanawerks]; 6 Mots de Renaissance 1903; 3 Thesaurus 1903), 1 Zeitungsausschnitt (Handzeichnungen 1900 [T. Hoffmann; Zentralblatt der Bauverwaltung])";;;15;(Thesaurus);> 1169 (2x Prospekte) - 1170 (4x Prospekt) - 1174;;;
VII.D.1;Sammlung lose Blätter;Giuliano da Sangallo (S. Lorenzo);SP T (?);;;;XXX;"1 Zeichnung (Transparentpapier; Fassade S. Lorenzo von Giuliano da Sangallo)";;;1;;> 1175 (Zeichnung);;;
VII.D.2;Sammlung lose Blätter;Abbildungen (Raffael);Raf;;;;;"11 Abbildungen (Raffael [Tafel 1 in Raffael publiziert]; 6 Drucke Bildniss Bramantes u.a. [in St. Peter publiziert])";;;11;;> 1176 - 1180;;;
VII.D.3;Sammlung lose Blätter;(Div. Publikationen);S;;;;;"11 Bogen ""I Diari di M. Sanuto"", 1 Broschüre (""Duomo di Milano""; Risse zum Dom in Mailand)";;;12;;;;;
VII.D.4;Sammlung lose Blätter;(Div. Abbildungen);SP;;;;;"5 Abbildungen (Entwürfe St. Peter; Bramante; Giuliano da Sangallo; Antonio da Sangallo)";;;4;;> 1181 (3x Abbildungen) 1183;;;
VII.D.5;Sammlung lose Blätter;Leonard (Toscanawerk);T L;;;;;"7 Zeichnungen (4 auf Transparentpapier; Toskanawerk; Leonardo [publiziert in der Monografie Leonardo])";;;7;;> 1184 (4x Zeichnungen) - 1187;;;
VII.D.6;Sammlung lose Blätter;(Toscanawerk. Initialen);T;;;1908;;"17 Zeichnungen (5 auf Transparentpapier; Toscanawerk; Initialen), 8 Abbildungen (Andrucke; u.a. Antonio da Sangallo; SS. Annuziata; Arezzo), 1 Brief (Bruckmann 1908)";;;26;;> 1188 (8x Initialen) - 1195 (9x Initialen Brief) - 1203 (...x Zeichnungen) - 1212;;;
VII.D.7;Sammlung lose Blätter;Como;SP S;;;1875;XXX;15 Zeichnungen (Dom zu Como 1875);;;15;;> 1213 (...x Skizzen) - 1229;;;
VII.D.8;Fotografien;München (Trattatto);S;;;;XXX;"2 Fotos (Vitruv; Serlio Cop. I.; p. 22; Ed. 1524)";;;2;;> 1230 - 1231;;;
VII.D.9;Sammlung lose Blätter;"Milano; Castello";B;;;;XXX;"10 Notizen (zu einer Sammlung; u.a. Ponticella des Kastell in Mailand), 8 Zeichnungen (2 auf Transparentpapier)";;;18;;> 1232 (7x Zeichnungen) (...x Zeichnungen) - 1245;;;
VII.D.10.a;Sammlung lose Blätter;"o. Aufschrift (Briefe); o. Aufschrift (Briefe)";T Rf S;;;1877, 1884, 1885, 1886, f;XXX;"56 Briefe (10 Bruckmann [unterschiedliche Namen] 1888 1893 1894 1901 2x1904 2x1905 1908; 9 Rörich 1885 2x1899 2x1901 3x1902 2x[?]; 1 G. Moreau 1890; 3 [Gustavo] Frizzoni 1877 1895 1900; 4 [Giuseppe] Castellucci 2x1903 1904 1807; 7 [Eduard] Müntz 1891 1894 1895 2x1896 1898 1901; 2 [Eduard] Ibis-Heusler 1887 1886; 4 G. La Roche 1885 3x1886; 2 Stegmann 1893 1894; 3 Hermann Egger 1908; 2 Angelo Gigli 1877; 2 Carl Heymanns 1901 [an Buchhandlung Wild; Baden]; 2 G. Magherini Graziani 1899 103; 1 G. Atchison 1890; 1 Max Allioth 1903; 1 G. Fasso 1882; 1 Rahn 1905; 1 W. Heusler von der Mühle 1884)";;;56;;> 1246 (4x Briefe) - 1249 (3x Briefe) - 1252 (...) - 1281;;;
VII.D.10.b;Sammlung lose Blätter;"o. Aufschrift (Briefe); o. Aufschrift (Briefe)";T S;;;1860, 1875, 1884, 1889, f;XXX;"20 Briefe (2 Vincenzo Barelli 1875 1892; ? Seeber 1905; Hoepli 1889; J. Brandt [?] 1903; C. Malagda 1884; C. Bruns 1894; A. Sorbed [? Bibl. Communale Bologna] 1907; Marquis du Vivier 1905; U. Paolo 1901; P. Titremany 1905; 1 Lucciola 1905; Piumati 1899; L. Prendergrats 1892; ?...[Pavia] 1875; A. Naef 1903, F. Marenard 1902; Dieckmann[?] 1906; ...? [deutsch] 1894; L. Gili <Comitato Masaccio> 1903), 1 Zahlungsbestätigung 1860, 7 Visitenkarten (Architetto A.[lfredo] Melani [Milano]; Gustav Dreyfus; Gustavo Frizzoni; Giovanni Morelli; Heinrich Hertlein; Emanuel La Roche; Frau Auguste v. Stegmann)";;;28;;> 1282 (...Briefe) - 1311 (3x Transparentpapier von VI.6.28) - 1314;;;
VII.D.11;Sammlung lose Blätter;o . Aufschrift;S;;;;X;3 Notizen und Skizzen, 104 leere Briefumschläge;;;107;(Briefumschläge bezüglich Namen kontrollieren);;;;
VII.E.1;Sammlung lose Blätter;o . Aufschrift;Rac S;;;1898;XXX;"5 Notizen und Skizzen, 20 Fotos (Negative) (Raccolta Geymüller-Campello; privat [Porträt Geymüller] + Sammlungen), 12 Abschriften (Kopien Uffizien; Artikel Donaldson [Beschriftung Egger: ""sogen. Skizzenbuch des Michaelangelo in Lille""]): (in 3 Umschläge)";;;37;ENTNOMMENES!;> 1332 (...x Negative) - 1347 (5x Kopien) - 1352;;;
VII.E.2;Sammlung lose Blätter;o. Aufschrift;SP S;;;;XXX;"14 Notizen und Skizzen (St. Peter; Anhebung des Fußbodens), 9 Fotos (5 Negative; Album Destailleur): (in 2 Umschläge)";;;23;;> 1353 (Fotos Negative) - 1360;;;
VII.E.3;Sammlung lose Blätter;o . Aufschrift;S;;;1882, 1887, 1891;XXX;"16 Briefe (7 Nino Ferri 3x1882 3x1887 1891; Bibl. Nazionale Florenz [?]; RIBA [Dankesschreiben]; H. Latu[?]; ?... 1891; Carotti [Brera] 1891; W. Papworth 1891; 2 Atchison 1891; 1 Visitenkarte (Alberto Guglielmotti): (in 2 Umschläge)";;;16;;> 1361 (4x Briefe) - 1364 (4x Briefe) - 1368 (11x Visitenkarte Briefe) - 1379 (3x Brief) - 1382;;;
VII.E.4;Sammlung lose Blätter;o. Aufschrift (Archivio del Capitolo S. Pietro);SP;;;;;"86 Abschriften (nach Müntz; St. Peter): (in 3 Umschläge)";;;86;;;;;
VII.E.5;Sammlung lose Blätter;o . Aufschrift;SP;;;1880;;16 Abschriften (an Müntz geschickt), 1 Brief (Galli > Müntz 1880);;;17;FEHLT!!!;;;;
VII.E.6;Sammlung lose Blätter;o. Aufschrift (Leonardo);L;;;;XXX;"1 Zeichnung (Transparentpapier; Leonardo), 11 Fotos (Leonardo), 42 Drucke (Richter; Entwürfe; u.a.)";;;54;ENTNOMMEN: VI.E.5[6?] (Leonardo);> 1383 (4x Drucke) - 1386 (5x Drucke) - 1391 (27x Drucke) - 1418;;;
VII.E.7;Sammlung lose Blätter;o . Aufschrift;T S;;;1880, 1885;;"1 Zeichnung (1880), 8 Fotos (7 Negative; Bartolomeo Ammanati; Lucca), 1 Stich (L. Sforza), 2 Blätter (Bolletino storico 1885)";;;12;;> 1419 (2x Abbildungen) - 1420 (7x Negative) - 1427;;;
VII.F.1;Sammlung lose Blätter;Table du Codice Atlantico;L;;;1882;;"44 Notizen (Sachregister zum Codex Atlantico; Leonardo), 1 Abschrift (aus dem Codex Atlantico)";;;45;;> 1428 (Skizze) (2x Kopie Codex) - 1430;;;
VII.F.2;Sammlung lose Blätter;o. Aufschrift (Bramante);B;;;;;"34 Notizen (Bramante; His School abroad), 7 Abschriften, 1 Zeichnung (Kirchenlängsschnitt; Mailand), 1 Abbildung (Previdari-Stich): (in 6 Umschläge)";;;43;;> 1431 (Stich) (1x Skizze) - 1432;;;
VII.F.3;Sammlung lose Blätter;o. Aufschrift (Zeitungsartikel. Vignet);S;;;1887, 1901;;"22 Zeitungsausschnitte (1 Semaine religieuse 1901 [Rez Geymüller]; 2 Journal de Genéve 1901 [Rez. Geymüller]; 13 Badeblatt 1901 [Rez. Geymüller]; 1 Allgemeine Schweizer Zeitung 1901 [Rez. Geymüller]; 2 Beilagen zur Allgmeinen Zeitung 1901; 3 Beilagen zur Allgemeinen Schweizer Zeitung 1887)";;;22;;;;;
VII.F.4;Sammlung lose Blätter;Christliche Elemente in der Kunst;S;;;1898;;46 Notizen und Skizzen (Florenz: Dom und S. Lorenzo), 2 Fotos (Grabmäler im Kreuzgang von S. Spirito), 1 Abbildung, 1 Arte e Storia 1898;;;50;;> 1433 (Skizzen) - 1455;;;
VII.F.5.a;Sammlung lose Blätter;"o. Aufschrift; Bund deutscher Architekten";S;;;;;4 Blätter (Satzungen Bund deutscher Architekten);;;4;;;;;
VII.F.5.b;Sammlung lose Blätter;"o. Aufschrift; Gazette des Beaux-arts (Reg.)";S;;;1902;;2 Notizen, 1 Karte (Gruyer [?] 1902);;;3;;> 1456 (Karte);;;
VII.F.5.c;Sammlung lose Blätter;"o . Aufschrift; Modo in che si prova che Frau Giocondo è l'autore del disegno";SP S;;;1892;;"27 Notizen (Fra Giocondo; Manuskript für ""Cento disegni""), 1 Widmung";;;28;;;;;
VII.F.5.d;Sammlung lose Blätter;"o . Aufschrift; St. Sulpice. Lettres sur ma notice";Rf;;;1891, 1892;;"4 Briefe (F. de Darteuz [?] 1891; R. Facciolo 1892; O.[scar] Mothes 1892; Boito 1892)";;;4;;> 1457 - 1462;;;
VII.F.5.e;Sammlung lose Blätter;"o . Aufschrift; Briefe über Maria delle Grazie";B;;;1887, 1889;;"2 Notizen, 1 Arte e Storia (1887 Rez. Geymüller), 2 Briefe (Eugene Ransonnet 1889; Paul Sedille 1889)";;;5;;> 1463 (3x Briefe) - 1465;;;
VII.F.6;Sammlung lose Blätter;Toscana. Behalten fürs Erste;T;;;1901, 1908;;"27 Notizen (Entwurf für Widmung an Prinzregenten Luitbold; z.T. Briefentwürfe), 1 Blatt (Schlußwort für Toscanawerk), 5 Briefe (2 Bruckmann 1901 1908; Bayrischer Hofsekretär 1908; Bayrische Adjutantur 1901; 1 Karte Luitbold ?)";;;34;;> 1466 (2x Brief) - 1467;;;
VII.F.7;Sammlung lose Blätter;o. Aufschrift (Bramante);B;;;;;"22 Notizen (Bramante; His Milanese School; His Roman School and Palladio): (in 3 Umschläge mit Einzelblätter)";;;22;;;;;
VII.F.8;Sammlung lose Blätter;Petition florentine ;S;;;1898, 1899;X;"3 Notizen, 11 Zeitungsausschnitte (2 Chronique 1898; 1 Le Soir 1899; 1 Fiera Mosca 1898; 5 La Nazione 1898; 2 Artikel [Arnaldo Gineori; Bibl. Nazionale Zentrale]), 6 Briefe (1 Karte [A.?] 1898; 1 Arnaldo Gineori 1898; 1 Karte Rahn 1899; 1 Kraus 1898; 1 Angelica [o.Datum]; 1 Baron de [...?] 1898; 1 Briefentwurf 1899 [nicht abgeschickt]) (zu den urbanistischen Projekten in Florenz: Zentrum; Biblioteca Nazionale)";;;23;Demolisazione Firenze: Zeitungsartikel (La Nazione!!!), Firenze Antica, etc.: sämtliche Zeitungsartikel!!!;> 1468 - 1485;;;
VII.F.9;Sammlung lose Blätter;o. Aufschrift (Raffael);Raf;;;1883, 1884;;"5 Zeitungsausschnitte (1 Rezension über Geymüller; Raffaelo 1883 [Alfredo Melani; Il Pugnolo]; 1 Rezension über Geymüller; Raffaelo 1884 [Jean Paul Richter; Academy Nr. 645]; 2 Zeitschrift für Bildende Kunst 1884 [Anton Springer]; 1 Beilage zur Allgemeinen Zeitung 1884), 1 Prospekt (Hoepli; Raphael)";;;6;;> 1486 (4x Prospekt) - 1489;;;
VII.F.10;Sammlung lose Blätter;S. Pierre;SP;;;1875, 1878;XXX;"2 Notizen, 5 Zeichnungen (4 auf Transparentpapier; Darstellungen auf Gemälden), 1 Zeitungsausschnitt (Rezension Entwürfe), 7 Briefe (2 Carlo Pini 1875 1878; 1 Gregoire Bartolini 1875; 1 E. Novelli 1875; 1 Biblioteca universitaria di Torino 1875; 1 Briefentwurf Geymüller; 1 gedruckter Brief [Pause der Peruzzi-Perspektive zu St. Peter UA2)";;;15;"(""Suchbrief"" zur Uffizienzeichnung)";> 1490 (9 Zeichnungen Skizzen) - 1499 (Briefe) - 1504;;;
VII.F.11;Sammlung lose Blätter;o . Aufschrift;SP;;;;;4 Notizen (Iscrizione al Vaticano);;;4;;;;;
VII.F.12;Sammlung lose Blätter;Notes Historique (Thesaurus);Th;;;1885, 1891, 1892, 1893;;22 Notizen, 8 Korrekturfahnen (Thesaurus 1893), 1 Prospekt (Thesaurus 1893), 1 Layout (Transparentppier): (in 4 Umschläge);;;32;;> 1505 (Titelblatt) - 1512;;;
